,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
263,334.45004828770954,1.1743447799791433,41.26889888445536,1.0388545298706373,False,log_loss,60,sqrt,1,5,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.9104482315379193,0.9105958452543849,0.9105177435298645,0.9105206067740562,6.029704773131487e-05,284
264,137.4637977282206,2.5204596816238753,32.854787270228066,1.725918495482951,False,log_loss,60,log2,1,2,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9104896960650164,0.9105693079570427,0.9106122828084469,0.9105570956101686,5.078538817646181e-05,244
265,159.04829120635986,1.4690261360187435,35.65247837702433,0.31276640495652364,False,log_loss,60,log2,1,2,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350}",0.9103669610648091,0.9104299871459967,0.9105260364490384,0.9104409948866147,6.540704463619865e-05,355
266,178.97996393839517,0.7333407505557747,36.395434061686196,0.2249297517133055,False,log_loss,60,log2,1,2,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.9105858937678816,0.9106107724841398,0.9105973555539338,0.9105980072686517,1.0167142493328298e-05,209
267,198.62509020169577,0.7525615153486226,36.13885219891866,0.902311530080709,False,log_loss,60,log2,1,2,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450}",0.9105643322137911,0.9105344777542812,0.9108196057877942,0.9106394719186222,0.00012795567020215383,171
268,220.74775417645773,0.441247895658684,37.34242550532023,1.0733317955549273,False,log_loss,60,log2,1,2,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9104780859974292,0.910509599038023,0.9106587231558206,0.9105488027304243,7.878300523740602e-05,258
269,336.8809983730316,0.7248799033643291,42.161887089411415,0.9310310792202907,False,log_loss,60,log2,1,2,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9106207239706431,0.9106588713355724,0.9107267250930465,0.9106687734664206,4.383756862326543e-05,143
270,139.64543906847635,0.8421400089803363,35.99177368481954,0.63609761823169,False,log_loss,60,log2,1,3,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",0.9104283285649127,0.9106157482273914,0.9105625252934035,0.9105355340285692,7.885822195106146e-05,270
271,159.63645402590433,2.517475170717634,35.33367292086283,1.2742896238364279,False,log_loss,60,log2,1,3,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 350}",0.9105643322137911,0.910565990794875,0.9106653574911597,0.9105985601666086,4.723769432840073e-05,208
272,177.6377271016439,3.133928256645187,33.08191728591919,3.3752209816900804,False,log_loss,60,log2,1,3,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 400}",0.9105013061326036,0.9107218974167599,0.9105376465358818,0.910586950028415,9.656864378399312e-05,219
273,194.26243821779886,0.5690214143780981,31.304856141408283,0.44967995766636426,False,log_loss,60,log2,1,3,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 450}",0.9104631587676743,0.910650578430153,0.9106404787336381,0.9105847386438217,8.606877358816296e-05,222
274,214.25950042406717,2.1660408913393576,35.77875645955404,2.444114433553615,False,log_loss,60,log2,1,3,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",0.9105941866733009,0.9106837500518307,0.9105691596287426,0.9106156987846248,4.919227219851693e-05,187
